,Hotel,Review,Score
290,Hotel Cavendish, We had a bright triple room in the uppermost floor for 2 guests and that room type was enough for 2 with 3 guests it would have been really tight The staff was really friendly and the breakfast was good The location is ideal if you want to visit British Museum which is free ,0.9459
291,Hotel Cavendish, It was clean,0.4019
292,Hotel Cavendish, Good location rooms were fairly modern breakfast was fine ,0.5719
293,Hotel Cavendish, Reasonably well located Quiet enough on the non street side of the hotel Clean enough Price included breakfast ,0.5859
294,Hotel Cavendish, Location was good,0.4404
295,Hotel Cavendish, Staff at reception location breakfast and cost ,0
296,Hotel Cavendish, Breakfast was really good I also got upgraded free of charge and was able to choose what floor I wanted to stay on,0.7574
297,Hotel Cavendish, Nothing ,0
299,Hotel Cavendish, Staff was really helpful friendly Location was super Building was in a typical style for this area English charm ,0.9212
300,Hotel Cavendish, Good location was what I was expecting for the price and some rooms in other hotels for that price have shared bathrooms so this en suit was good Plenty of towels Friendly check in man Fan and hair dryer in room ,0.9136
301,Hotel Cavendish, Room was nice and bed comfy tea coffee etc very good,0.7178
302,Hotel Cavendish, Location was only good factor,0.4404
303,Hotel Cavendish, The bed was fine so was the breakfast ,0.2023
304,Hotel Cavendish, Great location within 5 minutes of 3 different tube lines Friendly staff ,0.8074
305,Hotel Cavendish, The location as a single female the hotel felt safe the room was nice and quiet slept well ,0.7783
306,Hotel Cavendish, staff great helpful have stayed there before no complaints only the toast at breakfast,0.8465
307,Hotel Cavendish, Room and bath room were clean Breakfast was good although better if could make our own tea coffee ,0.8176
308,Hotel Cavendish, Everything about the hotel was lovely The location was perfect close to the sights of London but quiet enough to be relaxing The staff were friendly and accommodating the room was big clean and nice and the breakfast was good Overall a very nice and affordable place to stay ,0.9828
309,Hotel Cavendish, The staff were friendly and helpful ,0.7184
311,Hotel Cavendish, friendly staff and very helpfull good breakfast nice location for the west end also handy for bus services to other parts of london buses very frequent,0.8473
312,Hotel Cavendish, I booked this hotel because of the good ratings On the day we were to arrive I saw some a few bad ratings So I didn t know what to expect We arrived early and left our bags while we explored High Street Hours later we returned to check in When I opened the room door I was happily surprised It looked just like the photos The room was clean and comfortable The breakfast was terrific We had tea service with shortbread in our room Our room was near the dining hall which was good Everything was GREAT ,0.9727
313,Hotel Cavendish, The location being a 10 minute walk from Euston is the only positive about this hotel ,0.5574
314,Hotel Cavendish, Absolutely nothing ,0
316,Hotel Cavendish, Breakfast and staff satisfactory,0.3612
317,Hotel Cavendish, Location is perfect staff service for breakfast tea coffee at room ,0.5719
318,Hotel Cavendish, Excellent location good value I stayed in a room facing the yard so it was very peaceful Standard breakfast good choice of cereals and fruit Friendly staff Very neat and clean room The cabin was probably the smallest hotel room I have ever been but the size of the room was mentioned in the booking so it was not a surprise ,0.8808
319,Hotel Cavendish, I have been at the Cavendish hotel before and it was amazing as always We called before and they ve taken care of our wishes as good as they could ,0.8885
320,Hotel Cavendish, The staff were nice and the breakfast was good The location was perfect for what I needed ,0.8555
321,Hotel Cavendish, Nothing,0
322,Hotel Cavendish, Very comfortable bed Clean room at the back of the hotel which was very quiet Near enough the centre of the city to come back for an hour or two before going out again at night Breakfasts were excellent with quick and friendly service Will definitely come back ,0.9447
323,Hotel Cavendish, It was a nice hotel near to Euston train stations The breakfast was very good The staff was kind and very helpfoul especially Mr Sam I would like to thank him ,0.9245
324,Hotel Cavendish, Staff especially at breakfast were really pleasant and efficient I booked the smallest cheapest room but it was fine Warm and the shower was good ,0.894
325,Hotel Cavendish, Good location Handy for Euston Road and a short walk to Covent Garden Breakfast was excellent ,0.765
326,Hotel Cavendish, Well situated,0.2732
327,Hotel Cavendish, Good breakfast,0.4404
328,Hotel Cavendish, The room was just about adequate for a one night stay The bed was clean and comfortable The breakfast was good and politely and quickly served The timing of breakfast was good for those needing an early start,0.9136
329,Hotel Cavendish, Staff very helpful great reception,0.8162
330,Hotel Cavendish, Good location,0.4404
331,Hotel Cavendish, Staff at the reception was very kind and helpful location is good not noisy,0.88
332,Hotel Cavendish, The location was excellent The tube and shops and many amenities are very close The room was tiny but clean and really very calm There are thick carpets on the corridor so the other visitors don t disturb you ,0.7317
333,Hotel Cavendish, Great value for money despite shabby decorating everything was clean and not unhygienic great location close to conference centres transport shops Room was nice and warm bed was very comfortable Staff were very polite ,0.9216
334,Hotel Cavendish, Location good staff Friendly Room basic but clean ,0.765
335,Hotel Cavendish, location,0
336,Hotel Cavendish, The English breakfast was really good We slept on the street side There was an extra window made to keep most of the noise out ,0.4927
337,Hotel Cavendish, Every thing I needed in a small area Close to Senate House Very good breakfast Smiling staff,0.7548
338,Hotel Cavendish, Location perfect Staff so friendly,0.8016
339,Hotel Cavendish, The breakfast was excellent The room was very nice and very affordable ,0.7778
340,Hotel Cavendish, the location was very convenient as close to Euston station and not too far to walk to theatreland ,0
341,Hotel Cavendish, Clean room friendly staff good location,0.8316
342,Hotel Cavendish, Location is good easy walk from Euston station not far from Goodge Street tube Big airy room friendly staff Breakfast was good ,0.8979
343,Hotel Cavendish, The bed was very comfortable the room was clean and the full English breakfast was excellent,0.8748
344,Hotel Cavendish, At Cavendish Hotel you meet a happy welcoming attentive to requests staff the line up helps you to feel at home Breakfast is super ,0.9201
346,Hotel Cavendish, Great location close to Senate House and Russell Square Nice and helpful staff Excellent breakfast ,0.9246
347,Hotel Cavendish, Location,0
